training_iteration,reward_mean_5,reward_mean_10,reward_mean_15,reward_mean_30,reward_mean_45
1,-8.68615113477305,-9.6418924331665,-8.910303141,-8.06705726283173,-7.90320656460497
2,-8.14219373135692,-8.69602298736572,-8.910303141,-8.06705726283173,-8.31770509620795
3,-8.14864280165776,-8.49293804168701,-7.972516389,-8.1163076467169,-8.87001087296576
4,-8.90237356695767,-8.49293804168701,-7.972516389,-8.4380146418102,-8.44399615086498
5,-8.34621487683783,-8.49293804168701,-8.394205391,-8.39693126742986,-8.13250782458015
6,-8.07011106456465,-8.49293804168701,-8.394205391,-7.36420847681053,-8.30291876507623
7,-8.46538112532252,-8.49293804168701,-8.17223533,-7.72784162274304,-7.8546847940595
8,-8.26938031384772,-8.49293804168701,-8.17223533,-8.5185010670167,-8.35190834860161
9,-8.22006456835092,-8.49293804168701,-8.007339158,-7.96989877761278,-7.69181348092589
10,-7.92843262613958,-8.49293804168701,-8.007339158,-8.02176142951735,-8.11920352564793
11,-8.42741047052756,-8.49293804168701,-8.580585027,-8.53545837636151,-8.087531828537
12,-8.97038773636549,-8.49293804168701,-9.312514559,-8.16051530549939,-8.05792232232273
13,-8.62401496561978,-8.49293804168701,-8.883370125,-8.3613941877545,-7.77125733855548
14,-8.84670502034784,-8.49293804168701,-8.883370125,-7.71586352776705,-7.96496169244579
15,-8.31737385890755,-8.49293804168701,-8.883370125,-7.72797464326421,-8.48445931366968
16,-8.36310885383573,-8.49293804168701,-9.251326918,-7.89058898184949,-8.62052228309669
17,-8.14838443578177,-8.49293804168701,-8.390916984,-7.73324043128474,-8.7473252947119
18,-8.93497998088885,-8.49293804168701,-8.390916984,-7.84085215396179,-7.50935921989619
19,-8.56989745005851,-8.49293804168701,-8.390916984,-8.06705726283173,-8.32623905536184
20,-9.00221820510433,-8.70528888702393,-8.033748195,-8.42827652548101,-7.76236257595258
21,-8.27419354957481,-8.62794017791748,-8.033748195,-7.81301491599257,-8.34436475394059
22,-8.80408590458197,-8.62794017791748,-8.433281197,-8.29268315743098,-7.88403872857013
23,-7.8195972604561,-8.62794017791748,-9.456881351,-8.3299270696854,-8.6404374200887
24,-8.389739553345,-8.62794017791748,-9.456881351,-7.91746004396213,-8.14571729319189
25,-8.30494524543043,-8.62794017791748,-8.70274988,-8.86396889797972,-7.74856769593473
26,-7.86370907836057,-8.62794017791748,-8.70274988,-8.50263508736633,-8.02963148304634
27,-8.81754659249918,-8.62794017791748,-8.337539544,-8.05670623566177,-7.73867949007945
28,-8.97220547944485,-8.62794017791748,-8.337539544,-8.07454089242587,-8.64315496866651
29,-7.70077042913441,-8.62794017791748,-8.742706744,-8.06705726283173,-8.23085408276708
30,-8.01466961812246,-8.62794017791748,-8.742706744,-8.64461919046862,-7.52540037190748
31,-8.2715250048877,-8.62794017791748,-9.442596014,-8.34718286023709,-8.46141900939595
32,-8.25397661989842,-8.62794017791748,-9.610311216,-8.17866267990336,-8.22197524595326
33,-8.70175338245071,-8.62794017791748,-8.02304579,-8.51649339888525,-8.67428566434536
34,-8.5443019238966,-8.47299957275391,-8.02304579,-7.87727360730631,-8.07777589685838
35,-8.17960489359964,-8.47299957275391,-8.512555066,-7.79190268486179,-7.94529454274091
36,-7.45071365057576,-8.47299957275391,-8.512555066,-8.5039272608429,-8.34785719912147
37,-8.56992793883283,-8.47299957275391,-8.512555066,-8.06095987654144,-8.19715598463136
38,-7.80946947821301,-8.47299957275391,-9.249198664,-8.31194111509529,-7.86924429305676
39,-8.50607352124134,-8.47299957275391,-9.654745441,-7.39995975665119,-7.83896885865935
40,-8.22880817201155,-8.47299957275391,-7.938002507,-8.15407266731576,-8.3695585599396
41,-8.37857020276357,-8.47299957275391,-7.938002507,-8.23526739397248,-8.01188380406813
42,-8.2438474956784,-8.47299957275391,-7.938002507,-8.18124219365683,-7.61632578399038
43,-7.63268002601906,-8.47299957275391,-9.106799807,-8.07468833826532,-7.95878992284468
44,-8.46108498627095,-8.47299957275391,-8.110953684,-7.82331318544902,-7.74086264750295
45,-7.97975377959614,-8.47299957275391,-8.110953684,-7.87845282879337,-8.16429461862518
46,-8.06859156997416,-8.47299957275391,-8.110953684,-8.28028141609127,-8.25945564542252
47,-8.64079276155276,-8.47299957275391,-8.979720073,-8.06705726283173,-8.71996159712079
48,-8.723293595563,-8.47299957275391,-8.979720073,-7.9303646078522,-7.6450737461881
49,-8.77423393363374,-8.47299957275391,-8.919175569,-8.00985243967553,-8.54904996769997
50,-7.72050191631062,-8.47299957275391,-8.588760141,-7.96818239182406,-7.73172430069178
51,-8.8736006396424,-8.64980697631836,-8.588760141,-7.94117356654233,-8.31075248754517
52,-8.54908482388183,-8.64980697631836,-8.670356825,-7.77560529403512,-7.32654791331511
53,-7.9852791930675,-8.64980697631836,-8.670356825,-8.3983637508435,-8.35392480025284
54,-9.14108936903326,-8.64980697631836,-8.37252239,-8.15614890010063,-8.276802531035
55,-8.53953099575827,-8.56945991516113,-8.37252239,-7.63422125474403,-8.9290191021427
56,-7.83957454130329,-8.56945991516113,-8.37252239,-8.00321512088827,-8.10667972054884
57,-8.65874782441326,-8.22311305999756,-8.891543483,-7.60619286202995,-8.34024383433685
58,-8.1198233289318,-8.22311305999756,-8.891543483,-8.23129298710071,-8.12107058954913
59,-8.37999596203061,-8.22311305999756,-8.891543483,-8.59112778140194,-8.4188689456783
60,-8.1682885906575,-8.22311305999756,-8.051488408,-8.37203481074084,-7.65093045229305
61,-8.0385557246418,-8.22311305999756,-8.051488408,-8.16430850699988,-8.29049397831608
62,-8.63148464469808,-8.22311305999756,-8.051488408,-8.68551145537998,-8.24499768889424
63,-8.10745098431231,-8.22311305999756,-8.715038427,-8.38545831539283,-8.3970390240127
64,-8.65218360307366,-8.22311305999756,-8.715038427,-8.11160931538824,-8.06334907881323
65,-8.96355594365897,-8.22311305999756,-8.423268479,-7.85291731444568,-7.92611457277153
66,-8.75110001696057,-8.22311305999756,-8.423268479,-7.25396475432176,-8.57844197922159
67,-8.72299909048348,-8.22311305999756,-8.423268479,-7.88155567506865,-7.96775780598594
68,-9.14932731813754,-8.22311305999756,-8.588595375,-8.35140062493776,-7.93941799448367
69,-7.79817135081819,-8.22311305999756,-8.469485003,-8.20347160700676,-7.56632885751896
70,-8.13609774225184,-8.22311305999756,-8.469485003,-8.38763386646931,-8.33709953799788
71,-8.0003470514019,-8.22311305999756,-8.658643245,-7.26719436503845,-8.40359474435398
72,-8.04091039975759,-8.22311305999756,-8.658643245,-8.06440294342843,-7.83525847805347
73,-8.07541154386623,-8.58623790740967,-8.57626385,-8.36955339848984,-8.33112545418662
74,-8.83451963430509,-8.58623790740967,-8.57626385,-8.06705726283173,-7.95530348803623
75,-9.02082313795525,-8.58623790740967,-9.016559774,-7.96915479311347,-8.52639799460733
76,-8.00137945545035,-8.58623790740967,-9.884929991,-8.64542437663216,-8.1836726365914
77,-8.72429386279529,-8.58623790740967,-8.86375506,-8.97937221392388,-7.87116648033594
78,-8.34296377584129,-8.58623790740967,-8.86375506,-7.69577491625943,-8.0385802201519
79,-8.96823266266181,-8.58623790740967,-8.762796782,-8.21981635639883,-7.40390419089362
80,-8.34151834896047,-8.58623790740967,-9.313741643,-8.37969166300353,-7.71344018182591
81,-8.33717924898925,-8.59169864654541,-8.500369553,-8.14289710986461,-8.06705726283173
82,-9.09450402865178,-8.59169864654541,-8.500369553,-8.33760422817809,-7.46807463952671
83,-8.41985148229536,-8.59169864654541,-8.826263116,-7.35956448502128,-8.13855243122644
84,-8.0835654899228,-8.59169864654541,-8.826263116,-8.22616524522349,-7.91859451024661
85,-8.69640068376577,-8.59169864654541,-8.885223047,-8.68340354646097,-8.11350997681854
86,-7.84161622972732,-8.59169864654541,-9.258934623,-7.84260455670918,-7.5157034113488
87,-7.43468102853933,-8.59169864654541,-9.258934623,-7.77969146440468,-7.75355936116921
88,-8.87051964893757,-8.59169864654541,-9.38736521,-7.27244899255576,-7.55946141277732
89,-8.00800604340244,-8.59169864654541,-8.432812978,-7.85269790755474,-7.82207577314343
90,-8.37451762958353,-8.59169864654541,-8.432812978,-8.09739590801032,-7.97809317902208
91,-8.17991142938471,-8.59169864654541,-8.432812978,-8.61545084177021,-8.41071677534155
92,-7.96862125686431,-8.59169864654541,-8.622794162,-7.81925221110397,-8.10965593586083
93,-8.23391786692494,-8.59169864654541,-8.772611654,-8.16749069924634,-8.15078567273731
94,-8.49170752861789,-8.59169864654541,-8.211991572,-8.19805936284911,-8.06705726283173
95,-8.50700389972723,-8.6377477645874,-8.211991572,-7.88120915615824,-7.83328714381182
96,-9.05910606725245,-8.33231067657471,-8.211991572,-8.05307752141568,-8.36775538029823
97,-8.72606082264206,-8.33231067657471,-8.354332428,-8.85068731055836,-8.36969796435917
98,-8.39737215681108,-8.33231067657471,-8.064995122,-8.23871131473418,-8.04183423125531
99,-8.389739553345,-8.33231067657471,-8.064995122,-7.65253217692798,-7.02269476912723
100,-8.55976635995999,-8.33231067657471,-8.064995122,-7.9391186417162,-7.5717601062252
101,-7.79781584464657,-8.33231067657471,-8.648568255,-7.87980307989878,-8.71592375874794
102,-8.33282512240782,-8.33231067657471,-8.238380424,-7.93668530112562,-7.58948651686106
103,-8.0547033329128,-8.33231067657471,-8.238380424,-7.9176387931172,-7.80200726412438
104,-8.32106537848936,-8.33231067657471,-8.238380424,-8.3737070525513,-8.35721834851421
105,-8.21127605554973,-8.33231067657471,-8.521580364,-7.20552291833386,-7.87078118263848
106,-8.46538654031719,-8.33231067657471,-8.104530541,-7.6774177900449,-8.28396662331057
107,-8.05757311528216,-8.33231067657471,-8.104530541,-8.27856244957767,-8.60380330595863
108,-7.83591711264442,-8.33231067657471,-9.239777815,-8.45971106755794,-8.56162294239946
109,-8.85100617415534,-8.33231067657471,-7.707257165,-7.58912430985992,-8.65412141948832
110,-8.00625975470923,-8.33231067657471,-7.707257165,-8.40373740863656,-8.22051415950549
111,-8.7344953125093,-8.33231067657471,-8.189429885,-8.07836723303722,-8.1804174596342
112,-8.76658141608334,-8.33231067657471,-8.189429885,-7.41075732845872,-7.52965906599928
113,-8.24757108144602,-8.49750328063965,-8.952673265,-7.70745131544141,-8.34253628772295
114,-8.02637438807332,-8.49750328063965,-8.660697389,-7.67354462002994,-7.68163007636467
115,-8.389739553345,-8.49750328063965,-8.660697389,-8.03613545872182,-8.43029700668513
116,-8.15897630661128,-8.49750328063965,-8.57301528,-7.71805605729671,-8.02050858662756
117,-8.23791207293692,-8.49750328063965,-8.57301528,-8.26593964877758,-8.1032004421584
118,-8.88435966900293,-8.49750328063965,-8.27122542,-7.37419592738413,-8.23213536739568
119,-9.01251936135058,-8.49750328063965,-8.27122542,-7.37903048533187,-8.21082607301834
120,-8.61499509128558,-8.37270164489746,-8.07970677,-7.8387842689164,-7.99165598622291
121,-8.66504767629584,-8.37270164489746,-7.546889819,-8.42725564504829,-8.06705726283173
122,-8.28350925919375,-8.37270164489746,-7.546889819,-7.62036140384535,-7.95229304982212
123,-8.44558633568147,-8.37270164489746,-7.935200222,-8.54558473332005,-7.40207921091837
124,-8.57362896997049,-8.37270164489746,-8.360224038,-7.7918981119984,-7.82494381873022
125,-8.62883341622218,-8.37270164489746,-8.360224038,-7.91470557290814,-8.43191106899602
126,-8.43133006144454,-8.16848468780518,-8.446783147,-8.06705726283173,-7.96265177389085
127,-7.95690876466018,-8.16848468780518,-7.893757992,-7.53833442171124,-7.9467531503345
128,-8.20363372054364,-8.16848468780518,-7.893757992,-7.8724602158302,-8.76801713934198
129,-7.62332889527196,-8.16848468780518,-7.893757992,-7.96213206343906,-8.52124899570674
130,-8.43807461976414,-8.16848468780518,-8.316229831,-7.91984203039133,-7.54077171262192
131,-8.4379038414269,-8.16848468780518,-8.812992834,-8.14935798290695,-7.71199597196061
132,-8.28515349878095,-8.16848468780518,-8.159375441,-7.30677073191466,-8.37115999028134
133,-8.93120144469708,-8.16848468780518,-8.159375441,-7.83719789280315,-8.61280949249026
134,-8.35290135051083,-8.16848468780518,-8.159375441,-7.99627170888763,-8.18727622272679
135,-8.11415267588609,-8.16848468780518,-8.7306232,-7.9725534832759,-8.06705726283173
136,-8.60729762927944,-8.16848468780518,-8.884789259,-7.60260660523578,-7.51827426609115
137,-8.79962597371345,-8.16848468780518,-8.688749067,-7.81970247968227,-8.2419260490159
138,-8.38534231575441,-8.16848468780518,-8.688749067,-7.75581808402833,-8.16750690800964
139,-8.5735489457667,-8.16848468780518,-9.000182458,-7.75070480779321,-8.27298371470815
140,-7.96504632447202,-8.16848468780518,-8.475999317,-8.17432152712396,-8.55419072639129
141,-7.7788126036227,-8.16848468780518,-8.475999317,-8.19587190421747,-7.52618627054821
142,-9.1611295109055,-8.16848468780518,-8.305444238,-8.44300829918318,-8.27336937461261
143,-7.51881403611605,-8.39625835418701,-8.305444238,-8.11678974423542,-8.02311642893016
144,-8.68624260109601,-8.16350269317627,-8.305444238,-8.17459511791848,-7.71283645066882
145,-8.83772460484434,-8.16350269317627,-8.420888839,-7.64401026115687,-7.59098587274228
146,-7.91599636103956,-8.16350269317627,-8.235257448,-7.82204410266877,-8.31999868149093
147,-8.48038956586217,-8.16350269317627,-8.235257448,-8.1443027050679,-8.18734275562531
148,-8.3981861165903,-8.16350269317627,-8.286344509,-8.76673619428244,-8.10431718010802
149,-8.85301301826586,-8.16350269317627,-7.973621805,-8.60772166129698,-8.07420852788593
150,-8.65569475624615,-8.16350269317627,-7.973621805,-7.907926427442,-8.34762755988274
151,-8.55003557922809,-8.16350269317627,-7.973621805,-8.15259351013434,-7.96676941099364
152,-8.07154726241108,-8.16350269317627,-8.331896064,-7.98651214877207,-8.15160237595159
153,-8.48313089514065,-8.16350269317627,-7.703242091,-8.11196836156735,-8.35087479092385
154,-8.73466317734398,-8.16350269317627,-7.703242091,-7.66812840291425,-8.11083857001698
155,-8.54359917530609,-8.16350269317627,-8.112765,-7.75953908182693,-8.01084253251315
156,-8.54329538233354,-8.16350269317627,-8.415604325,-8.73778150243882,-8.72101625335637
157,-7.73365889365738,-8.16350269317627,-8.415604325,-8.49525878706396,-8.06705726283173
158,-7.99098099410428,-8.16350269317627,-8.409870699,-8.74484517282333,-7.62195203589086
159,-8.86680199612063,-8.16350269317627,-8.400555623,-8.17131236795332,-8.44964470113397
160,-9.05235008447128,-8.16350269317627,-7.893044822,-8.62841413978931,-8.12457548559567
161,-8.16558335349566,-8.75060653686523,-7.710994784,-8.73633942053965,-8.05699247115929
162,-8.62095304511356,-8.75060653686523,-7.710994784,-7.31587181668059,-8.33264654248791
163,-7.96903392654485,-8.75060653686523,-8.392447525,-7.99996065136662,-7.9030213975946
164,-7.5429451358289,-8.72745513916016,-7.607482025,-8.00044420337263,-7.97249336823268
165,-8.45031963549273,-8.72745513916016,-7.607482025,-7.8660801206086,-8.12384764194585
166,-8.68655575259195,-8.67704391479492,-7.607482025,-8.07433554935364,-8.04192202400695
167,-8.04968772941762,-8.67704391479492,-7.634076977,-8.65445668734375,-8.2991246014634
168,-8.5446992314727,-8.67704391479492,-7.634076977,-8.11724879633349,-8.31723169165746
169,-9.51242531228104,-8.67704391479492,-8.102853995,-6.86909464222245,-8.05331291917977
170,-8.08693903160038,-8.67704391479492,-7.652686961,-8.33461984623013,-8.07965574341251
171,-8.72880476524405,-8.67704391479492,-7.652686961,-8.16976844929199,-7.63966495431593
172,-7.93909776420128,-8.67704391479492,-7.652686961,-8.14891686571492,-7.51648532571252
173,-8.06973893671374,-8.67704391479492,-8.060077819,-8.19978234759663,-7.70389412575908
174,-8.26707360852164,-8.67704391479492,-8.31766045,-7.9728730969975,-8.6986308193407
175,-7.79452753027636,-8.67704391479492,-8.31766045,-8.38061157823468,-8.7498732851373
176,-8.47806955848398,-8.35536479949951,-8.356030781,-7.77753237110882,-8.33639778457111
177,-8.2385003297054,-8.35536479949951,-8.356030781,-8.47762057383288,-8.15690214351641
178,-8.46477308616591,-8.35536479949951,-8.247223822,-7.88022691868496,-8.06705726283173
179,-8.11842456517894,-8.35536479949951,-8.014075371,-7.67813446187253,-8.15887922779421
180,-8.67007302678142,-8.31170558929443,-8.014075371,-7.89444513945436,-7.81177659816948
181,-8.50468096118889,-8.31170558929443,-8.071056296,-8.19807406618956,-8.72569356818973
182,-8.65932200219561,-8.31170558929443,-8.071056296,-8.0462095545866,-8.28781106578275
183,-7.45213915969359,-8.31170558929443,-7.828218407,-8.17022044967251,-8.11066894395075
184,-8.63805067888372,-8.31170558929443,-7.828218407,-7.99449417802952,-8.1677162296994
185,-8.11802256068354,-8.31170558929443,-7.935043498,-7.45081099361069,-8.72306562056883
186,-8.26769324871574,-8.31170558929443,-8.44199609,-8.70619727831867,-8.08317995952391
187,-8.69541171739193,-8.31170558929443,-8.204062951,-7.71143011407308,-7.65072286240553
188,-7.9333435554335,-8.31170558929443,-8.204062951,-8.24918738255232,-8.59987915530826
189,-8.73544755109323,-8.31170558929443,-8.074012045,-8.40344872965665,-8.4664424130189
190,-8.54646101175936,-8.31170558929443,-7.647852388,-8.11776582418968,-7.85405419167052
191,-8.16708752129689,-8.31170558929443,-7.647852388,-8.31778598155889,-7.7190563145683
192,-7.72478399991952,-8.31170558929443,-7.647852388,-8.42080510056496,-8.23254730994566
193,-8.93029549254583,-8.31170558929443,-7.965425123,-8.45689373095131,-8.25759580302341
194,-8.81256729301172,-8.31170558929443,-7.965425123,-8.01264112797216,-7.98944897407269
195,-7.86330921631959,-8.31170558929443,-8.238824306,-8.24370125948541,-7.98630665289377
196,-7.78161352138597,-8.31170558929443,-8.238824306,-7.79228515281706,-7.92834662814019
197,-9.04532448204259,-8.53535556793213,-8.103666491,-7.84400109107796,-8.24465319607925
198,-8.6784070331824,-8.53535556793213,-8.103666491,-7.33780019073669,-8.03365965501985
199,-8.68726718871738,-8.57057285308838,-7.831970251,-7.86321159962512,-7.90822666308904
200,-7.94321151210639,-8.57057285308838,-7.831970251,-8.03956992531484,-8.42481482261935
201,-8.1615366573506,-8.57057285308838,-7.831970251,-7.96977692891381,-8.06705726283173
202,-8.34362828397489,-8.57057285308838,-7.936967286,-8.04946418964817,-7.79085783085318
203,-8.91150320087943,-8.57057285308838,-7.679250584,-7.71900848060621,-7.90419613677002
204,-8.95131588971353,-8.57057285308838,-7.679250584,-7.96666163177286,-7.44343890396471
205,-8.09106450414612,-8.56772422790527,-7.679250584,-7.24910701512595,-8.35260333328505
206,-8.6662663797043,-8.53735542297363,-7.726145955,-7.67800927407776,-8.22868971483176
207,-8.04846982648663,-8.53735542297363,-7.880832566,-8.00083786012855,-7.69924528945118
208,-8.1389499141168,-8.53735542297363,-8.344596305,-8.31247512140466,-8.29231999963646
209,-9.01986689698395,-8.53735542297363,-7.885019904,-8.1717290644702,-8.02451777386067
210,-8.7903079921511,-8.53735542297363,-7.885019904,-8.17108533207742,-7.91085238087309
211,-8.389739553345,-8.53735542297363,-7.885019904,-7.83436579626122,-8.21222026436058
212,-8.10178449845815,-8.35135555267334,-8.073210738,-8.0226426706619,-7.86387267267808
213,-8.45550960770206,-8.35135555267334,-8.073210738,-8.00661881969439,-8.33598563827968
214,-8.65018959014615,-8.34406661987305,-8.077580361,-8.44475486134269,-7.92827819365491
215,-8.04757317400013,-8.34406661987305,-8.077580361,-7.9022771188021,-8.00166532768214
216,-8.45244039461063,-8.34406661987305,-7.659751499,-7.77103575842253,-8.47135597736876
217,-9.12123121806874,-8.34406661987305,-7.659751499,-8.50479470133476,-8.53835969971653
218,-8.96333976765447,-8.34406661987305,-7.659751499,-7.78887449850462,-8.01936779303953
219,-7.41751784979025,-8.34406661987305,-8.224069862,-7.99079590306076,-8.23796843949381
220,-8.32353586974653,-8.34406661987305,-8.296329841,-8.12871509281687,-7.83751484656708
221,-8.65057713896013,-8.34406661987305,-8.296329841,-7.60020399564546,-8.66847024983853
222,-8.45341020249791,-8.34406661987305,-7.821540397,-7.94999028485545,-8.26808511403502
223,-8.52287426027129,-8.34406661987305,-7.821540397,-7.96691051325852,-8.08551405539617
224,-8.02127242718493,-8.34406661987305,-7.821540397,-7.96297605102759,-8.84950425194088
225,-8.50762422268153,-8.34406661987305,-8.017886611,-7.92274883212724,-8.32920743228795
226,-8.13266786108627,-8.34406661987305,-7.51919168,-8.06705726283173,-8.76089470087153
227,-7.56254675730693,-8.34406661987305,-7.51919168,-8.04554928942504,-8.64959097959392
228,-8.43844267459731,-8.34406661987305,-7.51919168,-8.29983316890938,-8.69948024003425
229,-8.5377915228953,-8.34406661987305,-8.106556475,-7.35792758103137,-7.25172160636369
230,-8.12049217494701,-8.34406661987305,-7.749016324,-8.22942360281091,-7.97662663683136
231,-7.90584903772876,-8.43033123016357,-8.263448764,-8.35604076827763,-8.46897401357751
232,-8.54340143382692,-8.43033123016357,-8.263448764,-7.86843283618451,-7.77524582622442
233,-8.0524351329075,-8.43033123016357,-8.337931877,-7.51028352688722,-8.08069427436218
234,-8.94413598348029,-8.43033123016357,-8.272825216,-8.08106446123632,-7.97217268486853
235,-8.01932307619169,-8.43033123016357,-8.272825216,-8.83823092123736,-7.69254183392931
236,-8.14655835831931,-8.43033123016357,-8.31331363,-8.39097925560773,-8.14997595332678
237,-8.39791765351502,-8.43033123016357,-8.31331363,-8.46607056225636,-7.68228721041649
238,-8.28622585607267,-8.43033123016357,-7.940035275,-7.33058738161946,-8.18210877390706
239,-8.38197237254679,-8.43033123016357,-7.940035275,-8.06705726283173,-7.92008346399552
240,-8.37911911253276,-8.43033123016357,-7.940035275,-8.03887760907829,-7.47425316655218
241,-8.8958394106102,-8.3764181137085,-8.259876287,-7.97122563240972,-7.85046940634228
242,-7.91314746171485,-8.10792255401611,-8.259876287,-8.50971274799626,-8.23705727382553
243,-8.1612452835506,-8.10792255401611,-7.698536978,-7.81281094817505,-8.04659144102985
244,-8.3884099838066,-8.10792255401611,-7.698536978,-7.58143737177819,-7.45427342088635
245,-8.42159778864617,-7.94461536407471,-8.131648578,-7.71488507082934,-7.69634618461404
246,-8.46884532107387,-7.94461536407471,-7.907459147,-8.42655871350222,-8.19219526545754
247,-8.38241606882245,-8.48047542572022,-7.83530242,-7.86698760761202,-8.07202350141771
248,-8.56397841356176,-8.48047542572022,-7.83530242,-7.87087789190778,-8.03689606795654
249,-8.26942459908671,-8.48047542572022,-8.242042003,-8.08340942614835,-7.39328989582868
250,-8.21543384148756,-8.43943214416504,-8.022091573,-7.89139614883256,-7.70319033491792
251,-8.26876819578752,-8.43943214416504,-8.022091573,-7.68779300585115,-8.37641172014263
252,-8.39307158938275,-8.43943214416504,-8.022091573,-6.95081687244098,-7.97368969268157
253,-8.37210729185409,-8.37684631347656,-7.768085128,-7.7088197787676,-8.14029873870914
254,-8.389739553345,-8.37684631347656,-7.768085128,-8.51421697315895,-8.21675085140157
255,-8.60338190537495,-8.37684631347656,-7.970276645,-8.54005270051574,-8.17189400448334
256,-8.389739553345,-8.37684631347656,-7.970276645,-8.12160962148064,-8.73371043157362
257,-8.54240873581544,-8.37684631347656,-7.970276645,-7.50720748393003,-7.58443128429788
258,-8.14738209672544,-8.37684631347656,-8.461555117,-8.00324765726404,-7.31957302892175
259,-8.69919651614275,-8.37684631347656,-8.183880589,-8.06705726283173,-7.94497035615592
260,-8.18197680252455,-7.82318258285522,-8.183880589,-8.35609745367331,-7.24120184732604
261,-8.40071782524505,-7.82318258285522,-8.183880589,-7.4392960708374,-8.66858737852753
262,-8.6409989551323,-7.82318258285522,-8.07082577,-8.54253979488908,-8.02652918008157
263,-8.57888697687912,-7.82318258285522,-8.07082577,-7.76019345405037,-7.91897309579559
264,-8.0330102050598,-7.82318258285522,-8.216940379,-7.64634957507374,-7.86235364442911
265,-9.01002253085305,-7.82318258285522,-8.14169947,-7.70998395734515,-8.15909951756471
266,-8.53392009600153,-7.82318258285522,-8.14169947,-8.51959321167689,-8.20734348665927
267,-8.4076085266191,-7.82318258285522,-7.853551172,-7.62976520311248,-7.34137209507845
268,-8.33383241736145,-7.82318258285522,-7.853551172,-7.83547496465047,-8.27571086177149
269,-8.52590462077598,-7.82318258285522,-8.253373321,-8.03801986894268,-8.26154458374985
270,-8.12094882380163,-7.82318258285522,-8.253373321,-7.72459416532256,-7.51736317965566
271,-9.17395344253677,-8.33621215820313,-8.253373321,-8.26458114614392,-7.64859403603219
272,-8.64615009829834,-8.33621215820313,-8.383877727,-7.77636597401339,-8.26125945892614
273,-8.24373491087623,-8.33621215820313,-7.779145622,-8.24966757848408,-7.64867412905532
274,-8.39148714943571,-8.33621215820313,-7.779145622,-8.41193856747021,-7.86223298422185
275,-8.86672990606119,-8.33621215820313,-8.140552781,-7.57024531127055,-8.0970912211788
276,-8.78318287153781,-8.33621215820313,-8.140552781,-8.00113463783062,-8.13299579098399
277,-8.18210106488043,-8.34746551513672,-8.140552781,-8.50934995240874,-7.77645116057247
